Ergun delta_p-u results
--- dp = 3e-05 ---
u[m/s] grad_ergun[Pa/m] delta_p[Pa]
0 0 0
0.00293915 28065.2 787.699
0.0058783 56135.8 864.85
0.00881745 84211.7 864.85
0.0117566 112293 864.85
0.0146957 140380 864.85
0.0176349 168471 864.85
0.020574 196569 864.85
0.0235132 224671 864.85
0.0264523 252779 864.85
0.0293915 280893 864.85
0.0323306 309011 864.85
0.0352698 337135 864.85
0.0382089 365265 864.85
0.0411481 393399 864.85
0.0440872 421539 864.85
0.0470264 449685 864.85
0.0499655 477835 864.85
0.0529047 505992 864.85
0.0558438 534153 864.85
0.058783 562320 864.85
0.0617221 590492 864.85
0.0646613 618669 864.85
0.0676004 646852 864.85
0.0705396 675040 864.85
0.0734787 703234 864.85
0.00322699 30814 864.85
--- dp = 5e-05 ---
u[m/s] grad_ergun[Pa/m] delta_p[Pa]
0 0 0
0.00293915 10104.1 283.59
0.0058783 20211.4 567.269
0.00881745 30322 851.039
0.0117566 40435.7 864.85
0.0146957 50552.7 864.85
0.0176349 60672.8 864.85
0.020574 70796.2 864.85
0.0235132 80922.7 864.85
0.0264523 91052.5 864.85
0.0293915 101185 864.85
0.0323306 111322 864.85
0.0352698 121461 864.85
0.0382089 131604 864.85
0.0411481 141749 864.85
0.0440872 151898 864.85
0.0470264 162051 864.85
0.0499655 172206 864.85
0.0529047 182365 864.85
0.0558438 192527 864.85
0.058783 202692 864.85
0.0617221 212860 864.85
0.0646613 223031 864.85
0.0676004 233206 864.85
0.0705396 243384 864.85
0.0734787 253565 864.85
0.00896047 30814 864.85
--- dp = 0.0001 ---
u[m/s] grad_ergun[Pa/m] delta_p[Pa]
0 0 0
0.00293915 2526.43 70.9087
0.0058783 5054.46 141.862
0.00881745 7584.1 212.861
0.0117566 10115.3 283.905
0.0146957 12648.2 354.993
0.0176349 15182.6 426.127
0.020574 17718.7 497.306
0.0235132 20256.3 568.529
0.0264523 22795.6 639.798
0.0293915 25336.4 711.112
0.0323306 27878.9 782.47
0.0352698 30423 853.874
0.0382089 32968.6 864.85
0.0411481 35515.9 864.85
0.0440872 38064.8 864.85
0.0470264 40615.3 864.85
0.0499655 43167.3 864.85
0.0529047 45721 864.85
0.0558438 48276.3 864.85
0.058783 50833.2 864.85
0.0617221 53391.7 864.85
0.0646613 55951.8 864.85
0.0676004 58513.5 864.85
0.0705396 61076.8 864.85
0.0734787 63641.7 864.85
0.0357214 30814 864.85
--- dp = 0.0002 ---
u[m/s] grad_ergun[Pa/m] delta_p[Pa]
0 0 0
0.00293915 631.808 17.7328
0.0058783 1264.42 35.4881
0.00881745 1897.83 53.2659
0.0117566 2532.04 71.0662
0.0146957 3167.06 88.8889
0.0176349 3802.87 106.734
0.020574 4439.49 124.602
0.0235132 5076.91 142.492
0.0264523 5715.13 160.405
0.0293915 6354.15 178.34
0.0323306 6993.97 196.298
0.0352698 7634.6 214.278
0.0382089 8276.03 232.281
0.0411481 8918.25 250.306
0.0440872 9561.28 268.354
0.0470264 10205.1 286.424
0.0499655 10849.7 304.517
0.0529047 11495.2 322.632
0.0558438 12141.4 340.77
0.058783 12788.5 358.93
0.0617221 13436.3 377.113
0.0646613 14084.9 395.318
0.0676004 14734.4 413.546
0.0705396 15384.6 431.796
0.0734787 16035.7 450.069
0.139249 30814 864.85
